IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB01976,"PC(18:2(9Z,12Z)/P-18:0)",CHEBI:89543,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB01977,"PC(18:2(9Z,12Z)/P-18:1(11Z))",CHEBI:89542,C00157,1,1,1,1 +/- 0 uM
YMDB01978,"PC(18:2(9Z,12Z)/P-18:1(9Z))",CHEBI:89541,C00157,1,1,1,1 +/- 0 uM
YMDB01979,"PC(18:3(6Z,9Z,12Z)/16:0)",CHEBI:89545,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB01980,"PC(18:3(6Z,9Z,12Z)/16:1(9Z))",CHEBI:89544,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
YMDB01981,"PC(18:3(6Z,9Z,12Z)/18:0)",CHEBI:89548,C00157,1,1,1,1 +/- 0 uM
YMDB01982,"PC(18:3(6Z,9Z,12Z)/18:1(11Z))",CHEBI:89547,C00157,1,1,1,1 +/- 0 uM
YMDB01983,"PC(18:3(6Z,9Z,12Z)/18:1(9Z))",CHEBI:86123,C00157,1,1,1,1 +/- 0 uM
YMDB01984,"PC(18:3(6Z,9Z,12Z)/18:2(9Z,12Z))",CHEBI:89558,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB01985,"PC(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))",CHEBI:89557,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB01986,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))",CHEBI:89559,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB01987,"PC(18:3(6Z,9Z,12Z)/20:0)",CHEBI:89562,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB01988,"PC(18:3(6Z,9Z,12Z)/20:1(11Z))",CHEBI:89560,C00157,2,2,2,2 +/- 0 uM
YMDB01989,"PC(18:3(6Z,9Z,12Z)/20:2(11Z,14Z))",CHEBI:89564,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
